time,Strain_1,Replicate,CFU_Strain_1,Strain_2,replicate,CFU_Strain_2
0,17B2,1,55.55555556,0092a,1,416.6666667
0,17B2,2,13.88888889,0092a,2,555.5555556
0,17B2,3,27.77777778,0092a,3,833.3333333
0,17B2,1,55.55555556,232,1,1944.444444
0,17B2,2,13.88888889,232,2,1250
0,17B2,3,27.77777778,232,3,1111.111111
0,17B2,1,55.55555556,460,1,41.66666667
0,17B2,2,13.88888889,460,2,13.88888889
0,17B2,3,27.77777778,460,3,97.22222222
0,17B2,1,55.55555556,550,1,1805.555556
0,17B2,2,13.88888889,550,2,2361.111111
0,17B2,3,27.77777778,550,3,3611.111111
0,0092a,1,416.6666667,232,1,1944.444444
0,0092a,2,555.5555556,232,2,1250
0,0092a,3,833.3333333,232,3,1111.111111
0,0092a,1,416.6666667,460,1,41.66666667
0,0092a,2,555.5555556,460,2,13.88888889
0,0092a,3,833.3333333,460,3,97.22222222
0,0092a,1,416.6666667,550,1,1805.555556
0,0092a,2,555.5555556,550,2,2361.111111
0,0092a,3,833.3333333,550,3,3611.111111
0,232,1,1944.444444,460,1,41.66666667
0,232,2,1250,460,2,13.88888889
0,232,3,1111.111111,460,3,97.22222222
0,232,1,1944.444444,550,1,1805.555556
0,232,2,1250,550,2,2361.111111
0,232,3,1111.111111,550,3,3611.111111
0,460,1,41.66666667,550,1,1805.555556
0,460,2,13.88888889,550,2,2361.111111
0,460,3,97.22222222,550,3,3611.111111
0,253,1,1111.111111,163,1,416.6666667
0,253,2,1388.888889,163,2,1250
0,253,3,1250,163,3,555.5555556
0,253,1,1111.111111,228,1,1111.111111
0,253,2,1388.888889,228,2,1250
0,253,3,1250,228,3,833.3333333
0,253,1,1111.111111,177,1,2916.666667
0,253,2,1388.888889,177,2,2222.222222
0,253,3,1250,177,3,2777.777778
0,163,1,416.6666667,228,1,1111.111111
0,163,2,1250,228,2,1250
0,163,3,555.5555556,228,3,833.3333333
0,163,1,416.6666667,177,1,2916.666667
0,163,2,1250,177,2,2222.222222
0,163,3,555.5555556,177,3,2777.777778
0,228,1,1111.111111,177,1,2916.666667
0,228,2,1250,177,2,2222.222222
0,228,3,833.3333333,177,3,2777.777778
6,17B2,1,0,0092a,1,3333.333333
6,17B2,2,666.6666667,0092a,2,3333.333333
6,17B2,3,0,0092a,3,2000
6,17B2,1,0,232,1,4000
6,17B2,2,0,232,2,2000
6,17B2,3,0,232,3,2000
6,17B2,1,0,460,1,6000
6,17B2,2,0,460,2,8666.666667
6,17B2,3,0,460,3,6666.666667
6,17B2,1,0,550,1,4666.666667
6,17B2,2,666.6666667,550,2,4666.666667
6,17B2,3,666.6666667,550,3,6666.666667
6,0092a,1,666.6666667,232,1,2666.666667
6,0092a,2,3333.333333,232,2,4666.666667
6,0092a,3,2000,232,3,3333.333333
6,0092a,1,1333.333333,460,1,5333.333333
6,0092a,2,2000,460,2,4000
6,0092a,3,1333.333333,460,3,4666.666667
6,0092a,1,666.6666667,550,1,6666.666667
6,0092a,2,4000,550,2,4000
6,0092a,3,2000,550,3,4000
6,232,1,2000,460,1,2666.666667
6,232,2,3333.333333,460,2,2000
6,232,3,3333.333333,460,3,6666.666667
6,232,1,1333.333333,550,1,2666.666667
6,232,2,2000,550,2,2666.666667
6,232,3,3333.333333,550,3,4000
6,460,1,6000,550,1,6000
6,460,2,12000,550,2,5333.333333
6,460,3,5333.333333,550,3,6000
