Strain_1, Strain_2, Replicate, Time, CFU_strain_1, CFU_strain_2
163,0092a,0,0,526.0,457.0
163,0092a,0,6,5333.215479682662,3783.82517659068
163,0092a,0,18,525353.052295166,250864.2252305765
163,0092a,0,24,3828538.572668149,1654880.7936677749
163,0092a,0,30,9998406.632709472,5128113.385446518
163,0092a,0,42,11880526.655897131,7293513.321244148
163,0092a,0,48,11882941.835254557,7342919.365537131
163,0092a,0,54,11881156.028559582,7349953.99632039
163,0092a,0,68,11880794.577911219,7351533.831145002
163,0092a,1,0,675.0,566.0
163,0092a,1,6,6727.041893575344,4802.829423326417
163,0092a,1,18,636056.1664532197,331103.2524273739
163,0092a,1,24,4389152.43181395,2103496.7165210177
163,0092a,1,30,10707093.137857787,5694754.20068323
163,0092a,1,42,12681700.783217626,7394444.945962776
163,0092a,1,48,12699293.739678536,7423919.489094952
163,0092a,1,54,12702037.85522598,7428562.935393805
163,0092a,1,68,12695882.65231152,7425774.881051783
163,0092a,2,0,583.0,473.0
163,0092a,2,6,5779.498431968114,3787.238524892712
163,0092a,2,18,544086.1479348752,235321.44781915523
163,0092a,2,24,3894324.4234898626,1533924.5159694287
163,0092a,2,30,10206501.108602583,4948287.323516627
163,0092a,2,42,12311556.987055127,7280103.682459106
163,0092a,2,48,12324607.29511937,7331912.143110439
163,0092a,2,54,12325771.163362058,7339603.301034864
163,0092a,2,68,12324685.885260466,7340049.09673408
163,0092a,3,0,689.0,491.0
163,0092a,3,6,6715.3666986643675,4008.362137160454
163,0092a,3,18,608600.4827462013,258038.56682842565
163,0092a,3,24,4198151.390886107,1675718.5277254349
163,0092a,3,30,10541959.871059788,5136828.611532118
163,0092a,3,42,12558690.229668094,7250152.706638577
163,0092a,3,48,12569926.161019955,7293809.681935763
163,0092a,3,54,12570832.855110748,7300314.510264945
163,0092a,3,68,12566588.466480253,7298633.288142337
163,0092a,4,0,697.0,491.0
163,0092a,4,6,6562.326586220592,4181.6608657696515
163,0092a,4,18,558358.2264719926,290884.40337660443
163,0092a,4,24,3902568.1635702173,1873760.5451601022
163,0092a,4,30,10696147.607553225,5167909.067700854
163,0092a,4,42,13396299.963685893,6726660.957072355
163,0092a,4,48,13426443.122164797,6752667.111586086
163,0092a,4,54,13429824.841962142,6756194.624627195
163,0092a,4,68,13429495.404202295,6756429.485295338
163,0092a,5,0,673.0,483.0
163,0092a,5,6,6373.522556073604,3977.0118192568816
163,0092a,5,18,548403.3855748605,260307.24869171405
163,0092a,5,24,3838738.5621442986,1697870.7195983902
163,0092a,5,30,10408232.415867083,5151254.634373072
163,0092a,5,42,12880930.116096843,7166810.882884446
163,0092a,5,48,12901199.07556914,7205659.260261159
163,0092a,5,54,12903522.17606986,7211504.585050618
163,0092a,5,68,12900537.061867114,7210515.064670809
163,0092a,6,0,574.0,470.0
163,0092a,6,6,5400.72030740333,3912.331794890093
163,0092a,6,18,461945.2405435066,261674.83373612678
163,0092a,6,24,3364506.6113193235,1718734.2970333633
163,0092a,6,30,10108238.825495576,5168400.899289903
163,0092a,6,42,13174658.099438587,7103742.584766853
163,0092a,6,48,13209094.132344475,7140057.901244025
163,0092a,6,54,13213406.094494537,7145483.962923241
163,0092a,6,68,13210136.190919783,7144424.456833629
163,0092a,7,0,541.0,564.0
163,0092a,7,6,5485.1503428987035,4787.418172849878
163,0092a,7,18,538840.7052002563,329017.87767016736
163,0092a,7,24,3866353.907021029,2044613.5297189807
163,0092a,7,30,9885289.57434128,5273693.840654811
163,0092a,7,42,11805352.638980137,6687181.3492014725
163,0092a,7,48,11819992.069942333,6713377.642306666
163,0092a,7,54,11819552.32427969,6716247.163740991
163,0092a,7,68,11820124.082863731,6717314.538932567
163,0092a,8,0,637.0,490.0
163,0092a,8,6,6449.064504874356,3923.201985984967
163,0092a,8,18,628041.3633848847,242899.31124958504
163,0092a,8,24,4332207.404638718,1547652.546861149
163,0092a,8,30,10295378.653292384,4752962.971695708
163,0092a,8,42,11958169.52646114,6909171.705593698
163,0092a,8,48,11964277.157930365,6965420.307734906
163,0092a,8,54,11964197.409311559,6974212.739499481
163,0092a,8,68,11961261.864511218,6973931.202652746
163,0092a,9,0,819.0,462.0
163,0092a,9,6,8211.754806337252,3971.9126073075977
163,0092a,9,18,779274.0636653467,282736.1506738335
163,0092a,9,24,5130251.572293854,1876020.2001541792
163,0092a,9,30,11497469.231971886,5507613.553457354
163,0092a,9,42,13217866.848107226,7493500.764751375
163,0092a,9,48,13230455.071087027,7532236.174214082
163,0092a,9,54,13231991.811340658,7537886.3309019515
163,0092a,9,68,13228761.270881793,7536452.629866601
163,0092a,10,0,596.0,496.0
163,0092a,10,6,5906.076596826508,4106.462522116798
163,0092a,10,18,553448.1836668567,270723.611646309
163,0092a,10,24,3862967.418168211,1727488.475395229
163,0092a,10,30,9688978.066585874,4957155.437703933
163,0092a,10,42,11575629.307568781,6810253.451874292
163,0092a,10,48,11590645.982825646,6855489.371701596
163,0092a,10,54,11592637.29696762,6863285.957491746
163,0092a,10,68,11588687.682540687,6862208.690715296
163,0092a,11,0,674.0,357.0
163,0092a,11,6,6383.107222409513,3069.5513990802483
163,0092a,11,18,549910.962017827,220598.37010844427
163,0092a,11,24,3869967.747744426,1551927.365338938
163,0092a,11,30,10602855.800632842,5233208.7941413615
163,0092a,11,42,13184694.257072669,7644682.431598762
163,0092a,11,48,13208527.724093178,7691024.857537404
163,0092a,11,54,13211195.714745019,7697540.6961987885
163,0092a,11,68,13210442.828697192,7697767.720829071
163,0092a,12,0,608.0,527.0
163,0092a,12,6,6026.990655704294,4302.12046847808
163,0092a,12,18,564742.2626401947,276356.5140060525
163,0092a,12,24,3936776.7035568957,1772863.7169088605
163,0092a,12,30,9791418.981352128,5271915.950627228
163,0092a,12,42,11466439.115634786,7298097.964023242
163,0092a,12,48,11464259.350265527,7338916.775156744
163,0092a,12,54,11462770.818921078,7345254.021591501
163,0092a,12,68,11458895.89652612,7343976.3225893
163,0092a,13,0,474.0,474.0
163,0092a,13,6,5029.564146308936,3891.9678206320914
163,0092a,13,18,542395.4228526748,251657.768630006
163,0092a,13,24,4057488.5938938763,1560630.121381903
163,0092a,13,30,10397386.496009372,4234348.53919346
163,0092a,13,42,12341788.665490149,5683135.499901129
163,0092a,13,48,12358196.461239798,5724661.705936313
163,0092a,13,54,12358149.772946745,5731118.205682006
163,0092a,13,68,12358699.868068572,5733035.451409534
163,0092a,14,0,449.0,413.0
163,0092a,14,6,4419.432315437483,3503.6953476798353
