Strain_1, Replicate, Time, CFU_strain_1
17B2,0,0,560.0
17B2,0,6,1451.3461064097753
17B2,0,18,9737.323090165792
17B2,0,24,25151.634741737395
17B2,0,30,64586.51059059106
17B2,0,42,400921.81950326165
17B2,0,48,908791.9902370431
17B2,0,54,1778813.5457534902
17B2,0,68,3819052.3775098855
17B2,1,0,520.0
17B2,1,6,1348.1311235800267
17B2,1,18,9052.433482161578
17B2,1,24,23398.867322806385
17B2,1,30,60163.46182385509
17B2,1,42,376867.8018618484
17B2,1,48,865608.0870486964
17B2,1,54,1732889.8126231027
17B2,1,68,3930922.122825238
17B2,2,0,520.0
17B2,2,6,1369.565910764581
17B2,2,18,9490.268245095147
17B2,2,24,24918.873487329158
17B2,2,30,65062.81584897821
17B2,2,42,417980.37978146755
17B2,2,48,964588.1473070055
17B2,2,54,1914162.0584984352
17B2,2,68,4146124.3960883496
17B2,3,0,510.0
17B2,3,6,1325.1404747737947
17B2,3,18,8941.348536755895
17B2,3,24,23184.25967404496
17B2,3,30,59888.43797890069
17B2,3,42,384969.97520421684
17B2,3,48,916804.163716425
17B2,3,54,1957204.1603412665
17B2,3,68,5334332.496672482
17B2,4,0,520.0
17B2,4,6,1306.838769004173
17B2,4,18,8250.472628602905
17B2,4,24,20692.86962987054
17B2,4,30,51747.6397345681
17B2,4,42,314040.7541082173
17B2,4,48,736137.4638027109
17B2,4,54,1585522.582096465
17B2,4,68,4837750.9626631895
17B2,5,0,560.0
17B2,5,6,1401.0338182606492
17B2,5,18,8766.578618612908
17B2,5,24,21892.18559132797
17B2,5,30,54532.07178821343
17B2,5,42,329563.7411250622
17B2,5,48,775464.6460301193
17B2,5,54,1692115.7387097299
17B2,5,68,5513080.187456274
17B2,6,0,520.0
17B2,6,6,1325.7717815706364
17B2,6,18,8614.941253936899
17B2,6,24,21925.510106000398
17B2,6,30,55640.991981937506
17B2,6,42,348441.0063102507
17B2,6,48,831308.7700271509
17B2,6,54,1822504.2295736854
17B2,6,68,5738020.461552053
17B2,7,0,510.0
17B2,7,6,1363.2148253316036
17B2,7,18,9728.471897954474
17B2,7,24,25922.827306039624
17B2,7,30,68661.44733112301
17B2,7,42,451251.0611919106
17B2,7,48,1044693.8215776794
17B2,7,54,2051905.0029819063
17B2,7,68,4251242.996675612
17B2,8,0,630.0
17B2,8,6,1632.7856119228918
17B2,8,18,10953.288754258685
17B2,8,24,28283.884425893106
17B2,8,30,72569.26810091738
17B2,8,42,447174.7206369218
17B2,8,48,1002445.5597530352
17B2,8,54,1925776.6262810724
17B2,8,68,3961247.46732443
17B2,9,0,570.0
17B2,9,6,1450.043342665751
17B2,9,18,9375.899903830545
17B2,9,24,23782.41933907556
17B2,9,30,60041.784612486364
17B2,9,42,364784.5524574058
17B2,9,48,833229.5636259859
17B2,9,54,1685552.2534858715
17B2,9,68,4064706.07707345
17B2,10,0,520.0
17B2,10,6,1371.0849569048542
17B2,10,18,9525.774252209325
17B2,10,24,25062.483313067234
17B2,10,30,65669.75151390744
17B2,10,42,432244.8382947566
17B2,10,48,1034311.862490077
17B2,10,54,2189439.1101992866
17B2,10,68,5630823.864767831
17B2,11,0,570.0
17B2,11,6,1461.227471463295
17B2,11,18,9594.375060839193
17B2,11,24,24524.710415478687
17B2,11,30,62384.32611212968
17B2,11,42,384204.3437758427
17B2,11,48,881207.5301456115
17B2,11,54,1781034.3767484203
17B2,11,68,4224575.219498536
17B2,12,0,560.0
17B2,12,6,1390.5033437000616
17B2,12,18,8571.110355320983
17B2,12,24,21246.279123781453
17B2,12,30,52556.33702148743
17B2,12,42,314336.2344253741
17B2,12,48,740203.7235662008
17B2,12,54,1632671.3535375914
17B2,12,68,5711634.527614877
17B2,13,0,510.0
17B2,13,6,1337.1864259569
17B2,13,18,9184.829868649722
17B2,13,24,24019.380606888535
17B2,13,30,62513.027659403146
17B2,13,42,402998.6501168766
17B2,13,48,944464.8161142371
17B2,13,54,1935867.8696782421
17B2,13,68,4586424.367226906
17B2,14,0,530.0
17B2,14,6,1334.155780139014
17B2,14,18,8446.33438649504
17B2,14,24,21196.88388651937
17B2,14,30,52947.862534016575
17B2,14,42,314857.6452762573
17B2,14,48,712037.8385457557
17B2,14,54,1430704.4740579254
17B2,14,68,3452502.1559978356
17B2,15,0,530.0
17B2,15,6,1367.5622541465627
17B2,15,18,9095.944921015449
17B2,15,24,23397.391958953434
17B2,15,30,59861.7517548076
17B2,15,42,370898.38075838995
17B2,15,48,846416.6873979296
17B2,15,54,1683784.1759592847
17B2,15,68,3787348.923831479
17B2,16,0,570.0
17B2,16,6,1480.2428306155653
17B2,16,18,9973.583822088285
17B2,16,24,25826.89918396934
17B2,16,30,66541.52288225241
17B2,16,42,419447.5867961765
17B2,16,48,969270.0886053622
17B2,16,54,1957854.4675904112
17B2,16,68,4533496.484372721
17B2,17,0,560.0
17B2,17,6,1536.509552687282
17B2,17,18,11549.74085145359
17B2,17,24,31577.17694837625
17B2,17,30,85705.75733519848
17B2,17,42,580802.2661406877
17B2,17,48,1330790.9535026022
17B2,17,54,2505141.094684683
17B2,17,68,4620370.646915285
17B2,18,0,650.0
17B2,18,6,1707.9520733378556
17B2,18,18,11772.030419118564
17B2,18,24,30793.255206617196
17B2,18,30,79903.44676433821
17B2,18,42,494050.573843895
17B2,18,48,1082055.6906845158
17B2,18,54,1977108.3700283235
17B2,18,68,3616091.7100520437
17B2,19,0,650.0
17B2,19,6,1670.2255141148662
17B2,19,18,11010.488975622462
17B2,19,24,28169.224429160953
17B2,19,30,71540.31728316467
17B2,19,42,427840.7223301454
17B2,19,48,934495.7866592348
17B2,19,54,1735350.4335182447
17B2,19,68,3359255.581208029
17B2,20,0,600.0
17B2,20,6,1516.2910267430973
17B2,20,18,9677.200820531334
17B2,20,24,24393.7481002144
17B2,20,30,61249.231781982744
17B2,20,42,370970.08931147674
17B2,20,48,855822.0457003015
17B2,20,54,1776080.8361068415
17B2,20,68,4688145.2979962565
17B2,21,0,630.0
17B2,21,6,1575.1697440580365
17B2,21,18,9838.6141765204
17B2,21,24,24527.312130322745
17B2,21,30,60885.27407268981
17B2,21,42,358839.48447566613
17B2,21,48,812383.4426469516
17B2,21,54,1647355.3978972805
17B2,21,68,4137831.6598895686
17B2,22,0,510.0
17B2,22,6,1280.0809357513294
17B2,22,18,8059.78689132313
17B2,22,24,20182.32143480668
17B2,22,30,50364.866187775304
17B2,22,42,302706.5127326542
17B2,22,48,700622.3580765091
17B2,22,54,1474391.8435707854
17B2,22,68,4141947.138981197
17B2,23,0,520.0
17B2,23,6,1315.75737278802
17B2,23,18,8418.428242151345
17B2,23,24,21247.89055050944
17B2,23,30,53420.015125025486
17B2,23,42,324507.87216547667
17B2,23,48,750030.2324799898
17B2,23,54,1559793.5809609802
17B2,23,68,4133914.773823814
17B2,24,0,630.0
17B2,24,6,1623.9546060067769
17B2,24,18,10780.373323377886
17B2,24,24,27706.82269079134
17B2,24,30,70848.34088563742
17B2,24,42,439893.1816360968
17B2,24,48,1009373.1125773125
17B2,24,54,2029597.9341283855
17B2,24,68,4702062.822114737
17B2,25,0,570.0
17B2,25,6,1477.8987290206755
17B2,25,18,9928.372028747588
17B2,25,24,25680.384331183748
17B2,25,30,66138.82307369082
17B2,25,42,420160.5033531809
17B2,25,48,986474.5170402213
17B2,25,54,2054888.9736552665
17B2,25,68,5205331.440765092
17B2,26,0,700.0
17B2,26,6,1764.974457855349
17B2,26,18,11208.441691570966
17B2,26,24,28164.86758152537
