Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.00039303214089587225,3896160.6758892993,22294954.284745734,8114325.191203241,7.931387140061263e-12,2528443.4798668916,2.7620394029858356e-07,1.4579450927160314e-06,3.893095219171962e-17
M1,4.586794861943382e-19,4728129.135405291,21647245.73514322,7830016.851427168,8.464456966936222e-07,1849920.4467209284,5068320.428701873,0.48909187267928983,1.5647420334632133e-20
M2,8.069706368024466e-10,3615393.492907076,20989987.241434466,6975877.884786815,8.498158341609794e-07,2419312.1514630746,238.39992767586565,1253671.5603032175,2.6125648066591403e-25
M3,1.0813802603173815e-20,4462488.545736292,22887903.817946166,6781183.645136544,6.78183457762085e-07,2313200.927929189,95739.35310265553,734153.2143049598,5.1505091392719976e-33
M4,0.6688356198964703,3413244.800333259,25040195.151703298,9039241.149359247,1.9813634717510467e-06,2192653.4526582914,482645.25682376587,8320.80652414194,4.013674498338503e-25
M5,2.6393191234392718e-05,3981253.1499183914,23080761.436466366,7953222.505445207,3.158315324187765e-07,2595279.857278786,2.23707634755169e-07,0.11471059211739948,2.4720878494852237e-27
M6,1.3074058939600755e-09,3635457.9638668546,25598408.0034158,99.99368146743308,4.283530732148871e-07,904.5852415781969,5443570.246529072,2475860.4253564635,2.1086024056376777e-16
M7,0.00296082002702599,4904962.535292465,18777888.083662298,4027941.1047865315,1.8939558386470445e-06,2327330.726526309,5675025.76238903,166.24166751015406,7.975283290364295e-18
M8,0.007634798278938783,4968586.011052122,19172439.674754336,3285221.2791365325,4.210690232441952e-07,2221180.7650954933,7569423.276039647,49.324161283241544,3.04833751764005e-11
M9,9.106764585757408e-12,3510363.048266072,15779771.242739143,4774966.896979601,7.502450871489307e-07,2092550.3550781917,6039377.673457905,621295.5808375804,2.608284858039644e-23
M10,7.61064972287833e-05,5062897.175655244,15925586.15400113,4017079.4832014414,1.3148616034130821e-06,676549.1604114217,7278302.7171919895,533556.4670974984,1.6055997832358864e-14
