Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,4097018.613136352,22281135.214998737,7207605.001117141,0.0,2587554.6280719023,52250.970591478435,0.0,0.0
M1,0.0,5161240.3387886705,21752810.491728228,5369147.644103327,0.0,1951760.6693109085,5197422.1309086075,1.5702565221500835,0.0
M2,0.0,4820124.399364579,21219885.230131887,2796858.13743578,0.0,2672909.0313256383,1652644.035226029,709102.6543826351,0.0
M3,0.0,5573839.830383249,21472757.128369734,4549306.980250671,0.0,2295861.5273589324,3110237.770367899,12447.383954227851,0.0
M4,0.0,5141243.148306854,25214895.40095884,438393.09972854157,0.0,2248691.9188786773,5412641.896961485,4.345371381743006,0.0
M5,0.0,3882410.189434161,23843458.148556568,441640.5154392145,0.0,2473304.858769205,4488847.502049691,0.0,0.0
M6,0.0,3666834.441853683,25533273.2076607,0.0,0.0,2264.0819580354087,5514854.787309642,2457594.7695600092,0.0
M7,0.0,5583019.13562657,18209412.283486098,325163.00536441326,0.0,2409414.4475691114,5669152.879034715,54.845653071110206,0.0
M8,0.0,6030022.37212175,19835756.76597463,56560.03361062426,0.0,2260199.5906603616,7524840.283932348,114.06034496014703,0.0
M9,0.0,4907603.546486829,15833266.860269269,1127903.9836241717,0.0,2041728.8921338546,5991634.995255753,672526.7475359438,0.0
M10,0.0,5744503.703858308,15888574.732615344,93474.22946582564,0.0,135666.38849164592,9079525.002117539,998162.1304093429,0.0
M11,0.0,5071765.221960198,23716743.830626488,6654606.746780515,0.0,2619296.135735714,3508440.140086379,0.0,0.0
M12,0.0,3881527.9198958986,17697242.391870495,5226961.045328076,0.0,2547591.1072362917,2996471.7142839013,0.0,0.0
M13,0.0,6553210.515977389,18883330.608668935,85828.68720281709,0.0,2138807.424283056,6488434.070227761,4868.7403988761935,0.0
M14,0.0,4993798.512789651,25547565.70760482,0.0,0.0,393363.97072408284,8508949.439844228,1087558.14017334,0.0
M15,0.0,3405139.779184034,17764324.54714139,6208288.891703055,0.0,1975931.8048966671,2671333.601162108,482706.1909085063,0.0
M16,0.0,6164515.819781846,14494635.99050152,3113044.587055371,0.0,2048146.2703589308,4884280.431078847,91.32227284426213,0.0
M17,0.0,5957319.331668794,21166150.288538393,1919289.5762233543,0.0,2395356.2127839327,4750621.628479216,17321.149194916015,0.0
M18,0.0,2749892.8928814004,23902569.162931763,6201647.725989056,0.0,2502344.944445176,3384105.890665229,2264.5620056665152,0.0
M19,0.0,5229244.396553771,20604068.979725827,851477.9346381212,0.0,1899837.6249758713,6648611.188262636,8436.997817001848,0.0
M20,0.0,5487244.3071011,23629970.75216742,553081.6889505201,0.0,2203786.580437869,5329764.818484065,4.861457441776027,0.0
M21,0.0,4695387.276615448,22349116.135882407,39817.01312952422,0.0,2454783.2475100164,4695843.363525215,29511.2536256275,0.0
M22,0.0,5588339.28148547,23929371.201693226,659910.3444923754,0.0,2297621.184804568,4971507.483988431,0.0,0.0
M23,0.0,4452064.108467128,23805459.6788434,884198.813884829,0.0,2321147.0271187075,6817514.3875566395,0.0,0.0
M24,0.0,5335863.030495007,17221768.024776164,2.9105284644042326,0.0,391.0363057529381,10728153.003285933,1531022.1883251758,0.0
M25,0.0,4317623.672560446,13573438.608575337,8630545.426701084,0.0,2903476.837898911,343745.037676711,187.67995085868046,0.0
M26,0.0,5728277.953603719,15063014.760710137,4123488.241763003,0.0,2452988.1153667457,5149659.705392857,0.0,0.0
M27,0.0,2248834.3069497473,20396045.664989613,10141392.65104172,0.0,2178284.40380946,1244912.0304450504,21316.746065266474,0.0
M28,0.0,5554179.112946846,18611648.00820177,21945.114039105927,0.0,1813813.0699958396,6754270.233552376,0.0,0.0
M29,0.0,4579332.008829186,23591481.86252798,0.0,0.0,0.0,5607607.060564552,3055188.568069775,0.0
M30,0.0,5829865.800180012,17626744.225097653,1659.193872201867,0.0,1.167805029913693,10569153.20587697,1298214.7588543084,0.0
M31,0.0,5063603.38683678,21065050.460474066,2857613.788554089,0.0,2739081.5817338065,4619972.820680391,0.0,0.0
M32,0.0,5964701.027937451,21942730.88967799,580.0189696669056,0.0,1049045.7456434697,8914450.60716851,116664.11094670983,0.0
M33,0.0,5180131.600581422,25232823.242816806,10513.623688599197,0.0,1201487.6730668708,8413938.7063121,350806.2234893712,0.0
M34,0.0,3101463.0103928833,15105306.543184295,7063804.915735161,0.0,1807977.0060613381,4534972.762934061,95846.67800284411,0.0
M35,0.0,5744871.940549536,19749346.949492607,945.5901777191086,0.0,1916564.3219777115,7433844.992987052,340243.5598314243,0.0
M36,0.0,5819759.044739161,24100477.21766361,2047.4174387147136,0.0,1652616.3545052642,8093338.52228961,931.1807217829833,0.0
M37,0.0,3192661.634210068,21248803.94039723,6942350.565392203,0.0,2508338.1172305904,3966346.1216961835,2.2628856732794578,0.0
M38,0.0,5440552.114084445,16779788.903504904,257245.77066119033,0.0,1830648.697428347,4679585.496184924,542549.9153314912,0.0
M39,0.0,5203626.086278631,24061691.52396216,5895.613133874967,0.0,2521272.650636245,6747181.060573996,0.0,0.0
M40,0.0,5222870.47827117,19341413.67142577,5031801.414124991,0.0,2492325.567205023,3344774.339053983,0.0,0.0
M41,0.0,5675913.692675774,16850861.150833745,743114.3742843601,0.0,2135322.949895103,5002278.191305786,625881.5716624584,0.0
M42,0.0,5236809.188071716,27297843.81645196,218981.44809748972,0.0,2375035.9979704097,5301519.681423874,0.0,0.0
M43,0.0,3362925.8401296646,15732647.584017353,6071244.067246388,0.0,2671638.3900770154,3827405.1573479986,2502.506354943694,0.0
M44,0.0,4256865.119725067,21927546.05650282,10522.013863115839,0.0,2.6543405164528213,8008450.00985474,1561200.9333325562,0.0
M45,0.0,3026177.117671513,22929249.245928705,6.068599420046328,0.0,26.046798376305173,7376472.843059455,1774055.2932574276,0.0
M46,0.0,5753186.286153112,22307282.731989697,2143872.385830133,0.0,1666956.585308496,5712014.231692204,70991.07596398053,0.0
M47,0.0,6068313.011442546,21505826.628999382,26998.385254474997,0.0,2240029.6230130703,5605478.095576783,150786.63208250105,0.0
M48,0.0,6145520.925741918,22517935.608351085,302636.7200937504,0.0,2258300.1200462976,4974739.9186060615,1252.81234252291,0.0
M49,0.0,5451995.114394314,21221397.06990952,80089.91397779124,0.0,1868797.8319904762,6221201.817427066,148021.50168380962,0.0
M50,0.0,6209476.232561777,17664716.07591419,277600.5760932198,0.0,2530901.223276451,4646805.946585266,15483.392287449084,0.0
M51,0.0,3790132.8192495694,21480805.756603327,271080.4547786236,0.0,2114391.6677506305,6459482.315970091,41581.772753374666,0.0
M52,0.0,5423589.705268092,20798105.928595707,208125.8669031954,0.0,1972546.8594038587,6877856.192019894,47973.05830325835,0.0
M53,0.0,2895554.6758320555,22451869.890252728,16280.977080365423,0.0,1949822.8274423014,7267414.736024891,22724.987803171018,0.0
M54,0.0,4594655.531400529,14563778.536529068,166.40822400361256,0.0,47783.21368170714,7850565.7326206975,2152457.729671196,0.0
M55,0.0,5687040.918677804,21948576.181391083,845640.1043675224,0.0,1659378.8907831286,8338414.555080681,1.6801065428163333,0.0
M56,0.0,5232217.811818869,20326062.348961096,8079.735703772064,0.0,26377.51655769006,6493407.607808756,1742093.0851298997,0.0
M57,0.0,3673949.04326647,26868245.16066565,26797.727274333127,0.0,2467788.217135856,3958289.058582865,297802.8218889464,0.0
M58,0.0,4822298.613803502,22415726.717724267,778582.3803700032,0.0,2423681.0270466967,5055185.9350408865,0.0,0.0
M59,0.0,4942183.979393392,22915672.36722485,967311.6333617023,0.0,1737505.5696531455,5418083.078971799,330516.9481473893,0.0
M60,0.0,3544728.2339234725,23171332.265702106,861713.6051264044,0.0,2497618.9677569843,4658184.816041268,666.8978620866949,0.0
M61,0.0,1999138.3176933085,18579438.375660762,7853834.67689122,0.0,2636104.819897377,29447.766788743924,881983.106793137,0.0
M62,0.0,5936888.256846918,23811842.60839022,2264342.407916939,0.0,2016649.4024276778,5205418.860000594,0.0,0.0
M63,0.0,5367006.204109003,17665190.6234133,1120341.176909078,0.0,1887041.4370476461,5198179.726255151,40454.824823893185,0.0
M64,0.0,3950441.6199604315,13749742.997361127,5896967.099832154,0.0,2993832.690641002,5849252.888179373,0.0,0.0
M65,0.0,0.0,21967371.724149007,4809.241022416267,6818205.487662242,1938931.4289892556,6995432.939596866,301.33857273217615,0.0
M66,0.0,5828702.106224547,14291552.560143555,1495206.7972697415,0.0,2657659.446718165,5892919.4543081885,3.8928717331377003,0.0
M67,0.0,4503791.376942969,21176484.11715041,1082.1652008173928,0.0,2389512.0486991648,6503052.47684249,1.5401073333895683,0.0
M68,0.0,5555692.836024035,21308889.19354776,19689.482998865973,0.0,1870764.663339684,6888228.13445712,117606.22296847428,0.0
M69,0.0,5401689.811081291,22886674.141087726,450560.5582876976,0.0,2211464.4121542145,5258719.696155165,0.0,0.0
M70,0.0,5793715.386218574,17915269.76135032,111.36309690854205,0.0,4162.08823724805,8290552.011785918,1891243.3342293685,0.0
M71,0.0,4288607.2858243985,20933099.355900276,126732.14241965789,0.0,2512581.0443336135,7062903.647184953,0.0,0.0
M72,0.0,4842697.285638483,21032814.9516001,33.474662230636,0.0,128.74512823681613,6183556.620764461,2738220.421295157,0.0
M73,0.0,5225472.080096506,15872548.943105344,2117042.077349681,0.0,1515052.9201931132,6780098.50240789,692.5424884839415,0.0
M74,0.0,4502092.855800851,14075150.002132222,6528493.643611422,0.0,2195936.2636095244,4725172.203085571,0.0,0.0
M75,0.0,5612618.103940972,20407376.310728837,148084.0655033034,0.0,2529029.6494057663,5423204.069016135,0.0,0.0
M76,0.0,4252390.358905654,17693722.640447736,275.27427225337004,0.0,276829.93327476137,6905573.99750757,2058690.73150048,0.0
M77,0.0,4635521.748929432,18104798.941861797,2245293.5679570604,0.0,1792328.0668315988,3598460.3023043876,1115701.4638413836,0.0
M78,0.0,4834138.342976303,19338653.302696377,441945.2320016651,0.0,2047910.5723895128,6722599.228568469,35.47257788516886,0.0
M79,0.0,0.0,25468753.930733964,0.0,10.445104509021409,0.0,8762663.949517393,1951383.0348749338,0.0
M80,0.0,4972018.4183381675,25639518.55073938,146235.76255017662,0.0,2335786.6652161716,6267179.534096236,52209.77174542115,0.0
M81,0.0,5205455.364027576,22891287.341523383,1354689.5965437628,0.0,2170671.689492899,5381345.686882645,0.0,0.0
M82,0.0,4006902.017370303,18236699.18436384,8474248.035699321,0.0,2719862.596599937,1261892.4536916758,0.0,0.0
M83,0.0,6189860.154445841,26521760.986946493,4774.831876755695,0.0,2399146.9914174057,5693546.745106524,0.0,0.0
M84,0.0,6599263.965993935,16217702.592983298,488033.8998252648,0.0,1659046.428204637,7013784.450362926,7163.978669262224,0.0
M85,0.0,3019165.369245138,23505242.59894119,4069277.223267507,0.0,2050708.4777062526,4799045.669651414,159573.3178257867,0.0
M86,0.0,5002770.6685599955,22557544.061280962,243.35971776372003,0.0,519195.53735984117,9140001.55454017,624844.129288144,0.0
M87,0.0,5855115.459737998,23727844.53148285,1433.7041248949138,0.0,2254113.3288600994,6135042.1333171185,35291.91911646844,0.0
M88,0.0,4841942.925702674,19780812.86930064,2143733.1810932728,0.0,2903277.866123085,4501573.272350122,0.0,0.0
M89,0.0,4032180.3125762003,20858405.746653106,8.920838575309672,0.0,1315798.1775418052,7046798.664805973,1060041.3273384392,0.0
M90,0.0,6048681.907332623,20968666.393723737,3242.1458579178543,0.0,1412102.8213616656,5850168.675825542,1170297.6240720942,0.0
M91,0.0,5547090.382452464,20914959.10578222,3327.2715052783033,0.0,1195219.669264881,8310841.031723358,34440.93146914495,0.0
M92,0.0,3856240.2570380415,23897880.131198734,632413.5154566006,0.0,1581615.3830043655,5366906.13847048,836535.2392703256,0.0
M93,0.0,5734790.430452929,23643144.3420101,156.35952177454024,0.0,2298720.3119709776,7253900.512464924,0.0,0.0
M94,0.0,3190366.1902654693,23415945.532430023,161.0330680701596,0.0,1369811.2239066612,5207430.5591230085,1549696.7672914704,0.0
M95,0.0,4926731.034534239,20744497.324622247,746.6214060092908,0.0,59270.0625697724,7165670.522148566,2368618.5594508243,0.0
M96,0.0,5698575.551962965,19567638.06165128,138216.2371355345,0.0,2518926.2676445786,5516746.493593022,52.09993928539609,0.0
M97,0.0,2831454.505957288,22364484.515572656,129593.4019307629,0.0,2833554.885808353,4512952.611025234,1.771645070184876,0.0
M98,0.0,4341029.255393481,16508645.22646283,81717.82215322787,1.2487447806533445,2671446.9418292344,4785286.911007878,305539.6764817323,0.0
M99,0.0,3818855.1856759624,15621884.340822462,295532.3024344588,0.0,2334698.5253947927,5137476.903559012,9.145872837950623,0.0
