Population,Origin,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
00,all,0,1.00E+07,4.40E+07,0.00E+00,8.00E+06,40000,5600000,320000,0.00E+00
01,all,0,2.20E+07,6.40E+07,0.00E+00,1.20E+07,40000,1.30E+07,560000,0.00E+00
02,all,0,1.60E+07,6.40E+07,0.00E+00,1.20E+07,20000,11400000,460000,0.00E+00
03,all,0,1.60E+07,6.00E+07,0.00E+00,8.00E+06,0,8200000,4.00E+05,0.00E+00
04,all,0,2.00E+07,4.40E+07,0.00E+00,2.00E+07,0,5600000,420000,0.00E+00
05,all,0,6.00E+06,7.20E+07,0.00E+00,1.60E+07,0,7400000,180000,0.00E+00
06,all,0,2.00E+07,4.00E+07,0.00E+00,1.00E+07,0,5800000,240000,0.00E+00
07,all,0,1.40E+07,5.80E+07,0.00E+00,1.00E+07,20000,6.00E+06,220000,0.00E+00
08,all,0,1.60E+07,4.00E+07,0.00E+00,1.40E+07,0,8.00E+06,180000,0.00E+00
09,all,0,1.20E+07,4.00E+07,0.00E+00,6.00E+06,20000,7800000,340000,0.00E+00
10,F.sanfranciscensis,0,2.00E+07,6.20E+07,0.00E+00,1.60E+07,340000,1.10E+07,0,0.00E+00
11,F.sanfranciscensis,0,2.20E+07,8.60E+07,0.00E+00,2.40E+07,0,14600000,560000,0.00E+00
12,F.sanfranciscensis,0,2.40E+07,4.80E+07,0.00E+00,2.40E+07,0,11400000,540000,0.00E+00
13,F.sanfranciscensis,0,3.00E+07,8.00E+07,0.00E+00,3.00E+07,0,17200000,520000,0.00E+00
14,F.sanfranciscensis,0,2.60E+07,5.80E+07,0.00E+00,1.40E+07,0,3600000,980000,0.00E+00
15,F.sanfranciscensis,0,3.60E+07,6.60E+07,0.00E+00,2.60E+07,0,10600000,320000,0.00E+00
16,F.sanfranciscensis,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
17,F.sanfranciscensis,0,3.80E+07,1.36E+08,0.00E+00,2.60E+07,0,13800000,3.00E+05,0.00E+00
