Population,Origin,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
0,all,0,0.14714538,0.64743967,0,0.117716304,0.000588582,0.082401413,0.004708652,0
1,all,0,0.197132616,0.573476703,0,0.107526882,0.000358423,0.116487455,0.005017921,0
2,all,0,0.154023874,0.616095495,0,0.115517905,0.00019253,0.10974201,0.004428186,0
3,all,0,0.172786177,0.647948164,0,0.086393089,0,0.088552916,0.004319654,0
4,all,0,0.22217285,0.488780271,0,0.22217285,0,0.062208398,0.00466563,0
5,all,0,0.059066745,0.708800945,0,0.157511321,0,0.072848986,0.001772002,0
6,all,0,0.263019463,0.526038927,0,0.131509732,0,0.076275644,0.003156234,0
7,all,0,0.158658205,0.657298277,0,0.113327289,0.000226655,0.067996374,0.0024932,0
8,all,0,0.204655922,0.511639806,0,0.179073932,0,0.102327961,0.002302379,0
9,all,0,0.181378476,0.604594921,0,0.090689238,0.000302297,0.11789601,0.005139057,0
10,F.sanfranciscensis,0,0.182915676,0.567038595,0,0.146332541,0.003109566,0.100603622,0,0
11,F.sanfranciscensis,0,0.149497146,0.584397934,0,0.163087796,0,0.099211742,0.003805382,0
12,F.sanfranciscensis,0,0.222345748,0.444691495,0,0.222345748,0,0.10561423,0.005002779,0
13,F.sanfranciscensis,0,0.1902105,0.507227999,0,0.1902105,0,0.10905402,0.003296982,0
14,F.sanfranciscensis,0,0.253460714,0.565412361,0,0.136478846,0,0.03509456,0.009553519,0
15,F.sanfranciscensis,0,0.259141952,0.475093579,0,0.187158077,0,0.076302908,0.002303484,0
16,F.sanfranciscensis,0,0,0,0,0,0,0,0,0
17,F.sanfranciscensis,0,0.177487156,0.635217188,0,0.12143858,0,0.064455862,0.001401214,0
18,F.sanfranciscensis,0,0.165084606,0.687852524,0,0.068785252,0.000275141,0.077039483,0.000962994,0
19,F.sanfranciscensis,0,0.126315789,0.575438596,0,0.224561404,0.000280702,0.071578947,0.001824561,0
