Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,3896160.6772152414,22294954.28491629,8114325.187066389,1.773399354595971e-11,2528443.4802369946,4.000306407809397e-07,1.456528040636648e-06,4.672008824995626e-17
M1,0.0,4728129.192086852,21647245.766253803,7830016.535543599,1.0153032250416954e-06,1849920.4495932052,5068320.426020094,0.5038860200707231,1.807449629197821e-21
M2,0.0,3615395.9859262044,20989990.42862842,6975863.206417872,1.2413753757298479e-06,2419311.807143731,236.6034657358939,1253673.7664021733,2.8305289751125856e-25
M3,0.0,4462486.691588632,22887917.143636174,6781149.592958767,8.017604347795296e-07,2313205.7158336397,95683.79701967548,734172.3144381854,2.5808404897662146e-32
M4,0.0,3412318.4891147483,25040218.695707034,9043904.708987426,4.0515150720826487e-07,2192790.9814168685,478110.393934038,8179.019765504933,6.035531304733813e-25
M5,0.0,3981253.0313371816,23080762.190962844,7953220.672531552,2.966766627023105e-07,2595279.885213232,2.4186434645763206e-07,0.12620493339076175,3.010276867712298e-27
M6,0.0,3635390.4843330765,25598420.920212988,87.09341842482642,2.2496383854526938e-07,832.3718041957202,5443645.671733806,2475931.031234862,1.303569153057381e-16
M7,0.0,4904999.24825077,18777851.804151244,4027782.683427146,1.976021752468922e-06,2327335.27800849,5675022.077054223,166.35980095958408,7.91965920475254e-18
M8,0.0,4970580.875205503,19173900.910230294,3280116.343393985,5.091972045709796e-07,2221231.9914888763,7569329.146598173,42.43196920719171,2.5216312542782588e-11
M9,0.0,3510359.985815414,15779765.205587132,4774982.358187271,8.641342557372314e-07,2092551.599877111,6039397.339923561,621288.0344827563,8.502949410967827e-22
M10,0.0,5063671.542495851,15926255.785531685,3994641.391336895,1.1465354403772144e-06,669988.685909252,7290283.850697177,540558.9930981363,1.2121833942127686e-13
M11,0.0,5003418.254515487,23893268.103990313,7305723.880198125,1.338826403753897e-06,2611213.3901493144,3286240.6909232433,3.5210466803341296e-10,2.709358576689828e-28
M12,0.0,3057681.129739117,17505323.837278534,8705848.45867819,3.507051066191783e-07,2509010.9052002043,818961.3920783534,9.298525373825121e-05,2.1831764365692728e-21
M13,0.0,6492679.497449325,18307739.10416528,4045239.6972976117,2.606329155739156e-07,2061357.3862599481,6049654.563203261,991.4862691300625,1.4358614304601082e-33
M14,0.0,4815938.498768511,25745547.450981945,1.645635260080735,2.9728109707256377e-18,290390.45163336926,7973529.361552449,1385610.4487218524,2.957114918070904e-07
M15,0.0,3054984.9304419537,18027749.925357074,8543641.435808629,2.0452795896023875e-10,2305324.129687144,5273.697993130496,720140.8875179843,7.137398698373425e-15
M16,0.0,4569945.645253933,12925830.7626832,10892226.794907441,4.246673505229078e-07,2503089.2875546487,80166.15068882766,35887.55695758983,7.36259008565453e-10
M17,0.0,5932466.2405529255,18909861.971982583,6113254.697845357,5.697940534077701e-07,2378482.8089528945,3715765.3049587547,56020.739305656665,5.5951012312621995e-37
M18,0.0,2507469.560917626,23173988.904265344,7719907.898950651,1.0159924492446254e-06,2539408.3939989894,2608432.469488633,58542.384392340144,5.028843590961749e-25
M19,0.0,4222814.2488571,19774384.212719608,4901547.621027498,3.987682663692661e-07,1694352.3810181227,6534944.17244557,87152.9135810764,4.2707650238915466e-23
M20,0.0,5487312.843719395,21092321.1733715,6550426.8924839245,1.4236047269117325e-06,1903741.4130969124,4971042.946867733,32.388300973803354,9.572109154743633e-24
M21,0.0,3978799.0915199597,19797262.198231425,3838862.6690610363,3.150331572253699e-07,2308634.5780595215,4677784.898594548,94555.00540144878,3.5545639173317076e-24
M22,0.0,4818098.3625319125,24388376.009991765,6995234.819728916,3.302444696092747e-07,2347504.9130548155,908277.0970732591,0.0040226070358171245,5.999359739719609e-21
M23,0.0,2361446.396472828,23385722.613480557,7122170.567204341,1.3471856158882424e-06,2106301.081764314,3307736.275761664,0.0001207263490426562,2.5864101077460796e-27
