Population,F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
M0,0.0,4097516.056429109,22281243.289444968,7204824.848805357,0.0,2587684.946803348,52604.185071496606,0.0,0.0
M1,0.0,5162440.644121754,21753372.193974264,5361074.242217897,0.0,1952028.1483127077,5197927.242608382,1.570076033821695,0.0
M2,0.0,4817194.533857716,21218571.447763484,2811838.3211073764,0.0,2672478.8129953,1648145.3921805343,709702.330545724,0.0
M3,0.0,5573627.395764315,21472929.665986475,4549982.350993454,0.0,2295852.0109800613,3109753.3738419786,12521.203321923394,0.0
M4,0.0,5139128.951967029,25214400.191050865,450901.01349814766,0.0,2248568.4523923877,5406954.568971665,4.351823725347064,0.0
M5,0.0,3882234.964581236,23843673.049954414,434964.54120479955,0.0,2473030.8035449744,4496941.427715931,0.0,0.0
M6,0.0,3666675.7000794746,25533297.52038713,0.0,0.0,2102.759606897198,5514985.116879473,2457757.529026647,0.0
M7,0.0,5583507.258520347,18209274.874294583,321852.9605634359,0.0,2409466.266313916,5669172.639470963,54.84084663380908,0.0
M8,0.0,6031134.9363344675,19836553.811466742,52687.11687868856,0.0,2260249.925204367,7524822.521870249,103.68979682266368,0.0
M9,0.0,4906293.670061414,15832735.83671958,1132204.3253589044,0.0,2041759.579936256,5991687.28809221,672480.7490930193,0.0
M10,0.0,5743158.889121105,15889354.531419706,92562.66057333328,0.0,134970.43847684236,9076895.428894764,1000284.5040915991,0.0
M11,0.0,5071680.364583821,23716695.29434553,6655590.204692049,0.0,2619286.248762762,3508207.355632748,0.0,0.0
M12,0.0,3886885.1295681316,17699608.516242173,5200630.338923514,0.0,2548118.3493136023,3007039.249745932,0.0,0.0
M13,0.0,6553177.0552158775,18883574.03119556,84882.92416700759,0.0,2138853.092909147,6488121.4006959535,4989.005386773812,0.0
M14,0.0,4994634.496894235,25547064.08891959,0.0,0.0,394114.7992068719,8510458.215950752,1086165.2638408588,0.0
M15,0.0,3405908.8032274353,17763932.97656586,6191054.762958772,0.0,1973820.7098476612,2685190.664148851,482719.1477895236,0.0
M16,0.0,6168716.660138311,14499104.903960608,3088846.075162517,0.0,2047237.0524471265,4895617.939515634,95.27763928936794,0.0
M17,0.0,5957306.376836466,21168790.57055554,1913359.157680276,0.0,2395322.065812512,4751564.69572605,17404.15036167707,0.0
M18,0.0,2749748.370802066,23901536.787813652,6203447.376460847,0.0,2502380.610183606,3383685.556516746,2246.0202293380485,0.0
M19,0.0,5224124.4951910805,20597599.455594867,878106.8700232268,0.0,1899113.115097547,6647475.812800017,8333.589859913776,0.0
M20,0.0,5487144.59825481,23620065.02772646,583223.7675601305,0.0,2202570.9527037474,5327912.037057266,4.8730089878219855,0.0
M21,0.0,4695291.000079473,22348887.739854075,40222.61733361752,0.0,2454697.4204791076,4695739.610888152,29626.12090644465,0.0
M22,0.0,5587167.6597536,23929111.67783127,671186.3197497914,0.0,2297565.377639968,4966432.096243967,0.0,0.0
M23,0.0,4448032.384979987,23803451.22398471,899404.3860602665,0.0,2320592.9712148006,6810795.962077276,0.0,0.0
M24,0.0,5335675.434572141,17221495.798720628,0.0,0.0,293.8179162074736,10727901.980260156,1531200.530922027,0.0
M25,0.0,4318203.822564499,13574712.79128497,8628358.07253354,0.0,2903491.9699834995,344601.05259250116,168.61286110102012,0.0
M26,0.0,5728760.602593232,15064070.8958939,4119224.3021967285,0.0,2452994.9529141,5150421.478196167,0.0,0.0
M27,0.0,2249769.617737727,20395119.86086059,10138598.498096988,0.0,2178316.7480938197,1246110.763013742,21483.482343252053,0.0
M28,0.0,5554489.665244546,18612462.574330416,18112.503069533013,0.0,1814044.9902864476,6754048.315479421,0.0,0.0
M29,0.0,4579332.008829186,23591481.86252798,0.0,0.0,0.0,5607607.060564552,3055188.568069775,0.0
M30,0.0,5829852.413498806,17626759.819294423,1696.603730566705,0.0,1.167809497996402,10569127.511103349,1298217.1183018403,0.0
M31,0.0,5069251.965702051,21063385.980655197,2831523.3041974804,0.0,2740150.1107725557,4622598.191348915,0.0,0.0
