Strain_1,Strain_2,Replicate,N10,N20,r1,r2,a11,a22,a12,a21
163,0092a,0,526,457,0.38620113946716306,0.3524087869449961,-2.9562462937472937e-08,-4.4429547556346155e-08,-4.754703419384619e-09,-2.1680808951811937e-09
163,0092a,1,675,566,0.38333735864299956,0.35652447220267103,-2.9394068801378712e-08,-4.542947285766098e-08,-1.3444151846770841e-09,-1.4993979823909295e-09
163,0092a,2,583,473,0.3824457009127423,0.3468203520065788,-2.9633364041049534e-08,-4.5324251309379346e-08,-2.3414315352837376e-09,-1.14380571261812e-09
163,0092a,3,689,491,0.37962331063777355,0.350060532559899,-2.8438639303509522e-08,-4.583816080331165e-08,-3.034248888796517e-09,-1.226469479100179e-09
163,0092a,4,697,491,0.3738449727791672,0.35712991563564,-2.5953790958429898e-08,-5.0214276420377036e-08,-3.738392992757584e-09,-1.3271843176466606e-09
163,0092a,5,673,483,0.3748206727633202,0.35149088462718103,-2.7159520817550555e-08,-4.673888590534407e-08,-3.3798475224748903e-09,-1.116632005402929e-09
163,0092a,6,574,470,0.3737232250666763,0.35330506969232334,-2.67921744085026e-08,-4.5946153769040283e-08,-2.758492357048923e-09,-1.8902581739015462e-09
163,0092a,7,541,564,0.38620113946716306,0.35658655351902135,-2.9562462937472937e-08,-4.9144638467339614e-08,-5.4704509324582034e-09,-2.2373505926480697e-09
163,0092a,8,637,490,0.38596601253711604,0.3468203520065788,-3.084455162678244e-08,-4.5324251309379346e-08,-2.4325989103142624e-09,-2.5648318954762927e-09
163,0092a,9,819,462,0.38436094847304847,0.3586889398525782,-2.8251780228616105e-08,-4.431390251582648e-08,-1.4006775058321542e-09,-1.8635756184463565e-09
163,0092a,10,596,496,0.3823866295148405,0.3524087869449961,-3.203178557444247e-08,-4.4429547556346155e-08,-1.6124950634550382e-09,-4.0920370482730336e-09
163,0092a,11,674,357,0.3748206727633202,0.3586889398525782,-2.7159520817550555e-08,-4.431390251582648e-08,-2.0781462780147023e-09,-1.3268675183275069e-09
163,0092a,12,608,527,0.3824457009127423,0.350060532559899,-2.9633364041049534e-08,-4.583816080331165e-08,-5.825722231248539e-09,-1.1639925542191652e-09
163,0092a,13,474,474,0.39378158232800176,0.3510334608502136,-3.11004072816003e-08,-4.992401060500143e-08,-1.6406607667537962e-09,-5.243359277571113e-09
163,0092a,14,449,413,0.3812333030944238,0.35646220185003774,-2.8141829960326664e-08,-4.4973724251582114e-08,-1.1162757215716696e-09,-3.882264092139708e-09
163,0092a,15,580,467,0.373311086879919,0.350060532559899,-2.7588994519369016e-08,-4.583816080331165e-08,-2.3893711472240736e-09,-1.4027074733311265e-09
163,0092a,16,715,515,0.38620113946716306,0.35624779247085525,-2.9562462937472937e-08,-5.289483639555071e-08,-3.1519699835096286e-09,-1.9998285886652525e-09
163,0092a,17,586,370,0.3737232250666763,0.362853936318312,-2.67921744085026e-08,-5.4334497929411294e-08,-3.1798968681107783e-09,-1.16564799753299e-09
163,0092a,18,522,590,0.3774510886579492,0.35646220185003774,-2.5676128148795286e-08,-4.4973724251582114e-08,-1.1625442339271488e-09,-4.870327192091068e-09
163,0092a,19,499,605,0.38333735864299956,0.34020514890611664,-2.9394068801378712e-08,-4.5984764897380105e-08,-2.399504047517214e-09,-1.0997917701557383e-09
163,0092a,20,580,574,0.3748206727633202,0.36236833851613437,-2.7159520817550555e-08,-4.882061479548481e-08,-3.2418638779505183e-09,-1.1875848109684482e-09
163,0092a,21,677,473,0.3864019159579324,0.34892530624191187,-2.734003708466028e-08,-4.74760196445315e-08,-1.0884744474446401e-08,-1.3995307715964765e-09
163,0092a,22,501,497,0.38175363334185397,0.3484941371751663,-3.015005754968029e-08,-4.8674824143465703e-08,-3.150916057356809e-09,-1.971397395430065e-09
163,0092a,23,567,566,0.3864019159579324,0.3465778867448991,-2.734003708466028e-08,-5.2771936610379364e-08,-1.9643381686941165e-09,-3.823911861954051e-09
163,0092a,24,569,447,0.37962331063777355,0.35333555681742146,-2.8438639303509522e-08,-4.7019938041557845e-08,-5.551244219514007e-09,-4.979400855069323e-09
163,0092a,25,692,677,0.3864019159579324,0.34945401742827586,-2.734003708466028e-08,-4.8721299130962354e-08,-1.5558831299252517e-09,-1.9994042608902663e-09
163,0092a,26,587,367,0.37478688401005855,0.3582579821552073,-2.6963538091157938e-08,-4.903465193747379e-08,-1.9430729814085025e-09,-3.4114851897887187e-09
163,0092a,27,722,466,0.37962331063777355,0.36236833851613437,-2.8438639303509522e-08,-4.882061479548481e-08,-7.924420669240236e-09,-3.6169586359376685e-09
163,0092a,28,543,491,0.38620113946716306,0.35658655351902135,-2.9562462937472937e-08,-4.9144638467339614e-08,-1.0670243843641327e-08,-1.0264537081894928e-09
163,0092a,29,546,551,0.38436094847304847,0.3586889398525782,-2.8251780228616105e-08,-4.431390251582648e-08,-1.0459813798281257e-08,-5.407274025370098e-09
163,0092a,30,758,526,0.3852739619432072,0.35330506969232334,-3.145675871233831e-08,-4.5946153769040283e-08,-2.866429282994663e-09,-1.3835610423376401e-09
163,0092a,31,542,554,0.3798390552100631,0.34087075341377626,-2.721397635406001e-08,-4.70894035087874e-08,-3.6539894960720757e-09,-3.1544743027851997e-09
163,0092a,32,638,355,0.3824457009127423,0.3627506516045673,-2.9633364041049534e-08,-5.524993679787221e-08,-2.522036814047873e-09,-2.72827131297677e-09
163,0092a,33,483,635,0.3824457009127423,0.34873216998719403,-2.9633364041049534e-08,-4.842412679182993e-08,-1.053374459114076e-09,-1.5059803839571796e-09
163,0092a,34,629,683,0.3774510886579492,0.35333555681742146,-2.5676128148795286e-08,-4.7019938041557845e-08,-2.3281904966548086e-09,-1.2743090276698388e-09
163,0092a,35,694,489,0.37152138841401294,0.3542838557565372,-2.6452240010998625e-08,-5.2847610472010095e-08,-1.2677684186270258e-09,-2.6603582134978207e-09
