Strains,Replicate,N0,r,a11
17B2,0,560,0.15876512243573515,-3.5777812675874843e-08
17B2,1,520,0.15881731820428646,-3.4184121410033164e-08
17B2,2,520,0.16144595829608466,-3.365327443277109e-08
17B2,3,510,0.1591773232984789,-2.364399725743791e-08
17B2,4,520,0.1536230086213336,-2.319844015968879e-08
17B2,5,560,0.1528695787055876,-1.940620241823775e-08
17B2,6,520,0.1560174520712473,-1.9805152587842364e-08
17B2,7,510,0.16390723088244208,-3.392727238550212e-08
17B2,8,630,0.15877057842582087,-3.4931979207351423e-08
17B2,9,570,0.155661845646342,-3.1405089019717346e-08
17B2,10,520,0.16162179985228953,-2.3477830023726236e-08
17B2,11,570,0.1569418795475902,-3.078182405758453e-08
17B2,12,560,0.15161038634794,-1.75514988582201e-08
17B2,13,510,0.16069041239462434,-2.9391286570589213e-08
17B2,14,530,0.15390804898662624,-3.632152883152043e-08
17B2,15,530,0.15802925353082864,-3.53200916406881e-08
17B2,16,570,0.159095623208786,-2.951833057640333e-08
17B2,17,560,0.1682661067501624,-3.3202272746677327e-08
17B2,18,650,0.16107009116261783,-4.0214334522014334e-08
17B2,19,650,0.1573483993293383,-4.139480245772152e-08
17B2,20,600,0.15455470844024433,-2.596175049735126e-08
17B2,21,630,0.15277708879554952,-2.9475835734073427e-08
17B2,22,510,0.1534151834192663,-2.820096577866751e-08
17B2,23,520,0.1547619682102651,-2.9456810944558606e-08
17B2,24,630,0.15785953658152008,-2.8127754113775672e-08
17B2,25,570,0.1588270372390045,-2.484647491466898e-08
17B2,26,700,0.1541842830179878,-3.085130355044749e-08
17B2,27,720,0.15634215938863227,-3.3814974540155174e-08
17B2,28,500,0.15193390918805505,-3.191021620915665e-08
17B2,29,680,0.15469122450429584,-2.7710020540893182e-08
17B2,30,630,0.15414429426027532,-3.393294096183954e-08
17B2,31,550,0.15497864575323705,-2.1259461613540682e-08
17B2,32,530,0.16052013646885532,-2.9990501649129605e-08
17B2,33,520,0.15335173453123074,-2.8918308042455753e-08
17B2,34,500,0.15172156457251595,-2.5296566187857073e-08
17B2,35,520,0.15719112174251815,-2.408622731041991e-08
17B2,36,680,0.15806030988649278,-3.743075096479568e-08
